name,source,target,source language,target language,comment
DELIVERY_CALENDAR,Delivery Calendar,Lieferkalender,en,de,
SHIPPED_ON,Shipped On,Versanddatum,en,de,
ROLES,Roles,Roles,en,de,
TOTAL_ROWS,Total Rows,Total Rows,en,de,
EXPERIENCE,Experience,Experience,en,de,
THE_SELECTED_ORDERS_HAVE_BEEN_APPROVED,The selected orders have been approved.,Die ausgewählten Bestellungen wurden genehmigt.,en,de,
CREATED_ON,Created On,Angelegt am,en,de,
PRODUCT_CATALOG,Product Catalog,Produktkatalog,en,de,
QUANTITY,Quantity,Menge,en,de,
END_USER_THEME_PREFERENCE,End User Theme Preference,End User Theme Preference,en,de,
ADD_CHART_PAGE,Add Chart Page,Add Chart Page,en,de,
USERNAME,Username,Benutzername,en,de,
ABOUT_THIS_PAGE,About This Page,About This Page,en,de,
ALL_STORES,All Stores,Alle Filialen,en,de,
OPENED_ON,Opened On,Opened On,en,de,
PAGE_NAME,Page Name,Page Name,en,de,
COL007,Col007,Col007,en,de,
SEARCH,Search,Suche,en,de,
ALL_CUSTOMERS,All Customers,Alle Kunden,en,de,
COL005,Col005,Col005,en,de,
ORDERS,Orders,Bestellungen,en,de,
ORDER_DATE,Order Date,Bestelldatum,en,de,
FILTERS,Filters,Filters,en,de,
ORDER_AT_MOST_500_UNITS_OF_A_PRODUCT_PER_LINE,Order at most 500 units of a product per line.,Order at most 500 units of a product per line.,en,de,
PLEASE_PROVIDE_FEEDBACK_OR_YOUR_EXPERIENCE,Please provide feedback or your experience.,Please provide feedback or your experience.,en,de,
COL008,Col008,Col008,en,de,
APPROVE_THE_SELECTED_ORDERS,Approve the selected orders?,Die ausgewählten Bestellungen genehmigen?,en,de,
PLEASE_ENTER_YOUR_SEARCH_TERM,Please enter your search term.,Please enter your search term.,en,de,
ACL_INFORMATION,ACL Information,ACL Information,en,de,
