Store Name,City,State,Country,Opened On,Latitude,Longitude,Floor Area (sq ft),Flagship
Orbit Denver Union Station,Denver,Colorado,US,2016-04-15,39.7527,-105.0003,12500,Y
Orbit Boulder Pearl Street,Boulder,Colorado,US,2018-09-01,40.0182,-105.2778,6400,N
Orbit Seattle Capitol Hill,Seattle,Washington,US,2017-03-20,47.6231,-122.3208,9800,Y
Orbit Portland Pearl District,Portland,Oregon,US,2019-05-11,45.5270,-122.6819,7200,N
Orbit San Francisco Mission,San Francisco,California,US,2020-02-07,37.7599,-122.4148,8100,N
Orbit Salt Lake City Downtown,Salt Lake City,Utah,US,2021-06-18,40.7596,-111.8868,6900,N
Orbit Chicago River North,Chicago,Illinois,US,2018-11-03,41.8924,-87.6341,11200,Y
Orbit Minneapolis North Loop,Minneapolis,Minnesota,US,2022-04-22,44.9883,-93.2733,5800,N
Orbit Atlanta Ponce City,Atlanta,Georgia,US,2019-10-12,33.7726,-84.3656,8600,N
Orbit Boston Back Bay,Boston,Massachusetts,US,2020-08-29,42.3505,-71.0810,7700,N
Orbit Asheville Downtown,Asheville,North Carolina,US,2023-03-04,35.5946,-82.5540,4900,N
Orbit Toronto Queen West,Toronto,Ontario,CA,2021-09-17,43.6477,-79.4020,9300,Y
